Ranking;Name;Year;Minutes;Genres;Rating;Votes;Gross
419;Baby Driver;2017;113;Action, Crime, Drama;7.6;538452;107.83
420;Snatch;2000;104;Comedy, Crime;8.2;855662;30.33
421;Warrior;2011;140;Action, Drama, Sport;8.2;473291;13.66
422;Sling Blade;1996;135;Drama;8;94658;24.48
423;Underground;1995;170;Comedy, Drama, Fantasy;8.1;58837;0.17
424;Cat on a Hot Tin Roof;1958;108;Drama;7.9;50179;17.57
425;Elite Squad;2007;115;Action, Crime, Drama;8;104858;0.01
426;V for Vendetta;2005;132;Action, Drama, Sci-Fi;8.2;1121380;70.51
427;Le Samouraï;1967;105;Crime, Drama;8;52231;0.04
428;Spider-Man: Into the Spider-Verse;2018;117;Animation, Action, Adventure;8.4;526106;190.24
429;Spring, Summer, Fall, Winter... And Spring;2003;103;Drama, Romance;8;83558;2.38
430;The Legend of 1900;1998;169;Drama, Music, Romance;8;65014;0.26
431;About Elly;2009;119;Drama, Mystery;7.9;53959;0.11
432;Adaptation.;2002;115;Comedy, Drama;7.7;193912;22.25
433;Lady Bird;2017;94;Comedy, Drama;7.4;291889;48.96
434;Dances with Wolves;1990;181;Adventure, Drama, Western;8;266648;184.21
435;The Message;1976;177;Biography, Drama, History;8.1;48113;-1
436;Rififi;1955;118;Crime, Drama, Thriller;8.1;34770;0.06
437;Logan;2017;137;Action, Drama, Sci-Fi;8.1;762000;226.28
438;Elite Squad 2: The Enemy Within;2010;115;Action, Crime, Drama;8;83608;0.10
439;3-Iron;2004;88;Crime, Drama, Romance;7.9;55655;0.24
440;Sherlock Jr.;1924;45;Action, Comedy, Romance;8.2;50678;0.98
441;Ace in the Hole;1951;111;Drama, Film-Noir;8.1;36484;3.97
442;Edge of Tomorrow;2014;113;Action, Adventure, Sci-Fi;7.9;678972;100.21
443;Star Trek;2009;127;Action, Adventure, Sci-Fi;7.9;604641;257.73
444;Harry Potter and the Prisoner of Azkaban;2004;142;Adventure, Family, Fantasy;7.9;633987;249.36
445;Bambi;1942;69;Animation, Adventure, Drama;7.3;144344;102.80
446;The Thin Man;1934;91;Comedy, Crime, Mystery;7.9;30295;-1
447;Moon;2009;97;Drama, Mystery, Sci-Fi;7.8;360546;5.01
448;Freaks;1932;64;Drama, Horror;7.8;47143;0.63
449;Twelve Monkeys;1995;129;Mystery, Sci-Fi, Thriller;8;619067;57.14
450;Samsara;2011;102;Documentary, Music;8.4;36299;2.67
451;Persepolis;2007;96;Animation, Biography, Drama;8;95532;4.45
452;Neon Genesis Evangelion: The End of Evangelion;1997;87;Animation, Action, Drama;8;55686;-1
453;Evil Dead II;1987;84;Comedy, Horror;7.7;166356;5.92
454;Who Framed Roger Rabbit;1988;104;Animation, Adventure, Comedy;7.7;202880;156.45
455;Serenity;2005;119;Action, Adventure, Sci-Fi;7.8;297163;25.51
456;Throne of Blood;1957;110;Drama, History;8.1;52700;-1
457;Monsters, Inc.;2001;92;Animation, Adventure, Comedy;8.1;907920;289.92
458;La Strada;1954;108;Drama;8;63667;-1
459;Pink Floyd: The Wall;1982;95;Drama, Fantasy, Music;8;81684;22.24
460;Mad Max 2;1981;96;Action, Adventure, Sci-Fi;7.6;182138;12.47
461;Dallas Buyers Club;2013;117;Biography, Drama;7.9;489614;27.30
462;Winter Sleep;2014;196;Drama;8.1;52057;0.17
